feature,mean_importance
Interest Rate (%),-0.015729471960752493
Country_UK,-0.0077118493936648045
Country_China,-0.004883121894249065
Country_Japan,-0.0018887450257782934
Country_Germany,-0.0004221584621010077
Country_Brazil,0.0
Country_Canada,0.0
Country_France,0.00010020009782030215
Country_Australia,0.00012713150753231872
Country_India,0.001110936763954662
Country_USA,0.0021675218741179503
GDP Growth Rate (%),0.002865366815396575
Stock Index Value,0.016186489195251275
Unemployment Rate (%),0.016998131815945783
