feature,mean_importance
Unemployment Rate (%)_ratio_Interest Rate (%),-0.007321555031217297
GDP Growth Rate (%)_diff_Unemployment Rate (%),-0.006109490132647366
Interest Rate (%),-0.006082960302168816
GDP Growth Rate (%),-0.0019487519333637239
Stock Index Value_ratio_Interest Rate (%),-0.0005571949812484212
Country_Japan,-0.00048678062588940473
Country_India,-0.0001526168222518276
Country_Canada,0.0
Stock Index Value_ratio_Unemployment Rate (%),0.0
Unemployment Rate (%)_ratio_Stock Index Value,0.0
Interest Rate (%)_multiply_Unemployment Rate (%),0.0
Stock Index Value,0.0
Country_Australia,0.0
Interest Rate (%)_ratio_Stock Index Value,0.0
Unemployment Rate (%)_diff_Stock Index Value,0.0
Country_USA,0.0
Country_UK,0.0
Interest Rate (%)_diff_Stock Index Value,0.0
Country_France,0.0
Country_China,0.0
Country_Brazil,0.0
GDP Growth Rate (%)_diff_Interest Rate (%),5.621353127507334e-05
Country_Germany,0.00044805368937055333
Unemployment Rate (%),0.0011757629854765694
