feature,shap_importance
Interest Rate (%)_multiply_Unemployment Rate (%),0.008594494
Unemployment Rate (%),0.0064625763
Interest Rate (%),0.0057862373
GDP Growth Rate (%)_diff_Interest Rate (%),0.0052831806
Unemployment Rate (%)_ratio_Interest Rate (%),0.003314921
GDP Growth Rate (%),0.0019498139
GDP Growth Rate (%)_diff_Unemployment Rate (%),0.0015884005
Country_France,0.00056451897
Stock Index Value,0.0002979783
Interest Rate (%)_diff_Stock Index Value,0.0
Stock Index Value_ratio_Unemployment Rate (%),0.0
Unemployment Rate (%)_ratio_Stock Index Value,0.0
Stock Index Value_ratio_Interest Rate (%),0.0
Interest Rate (%)_ratio_Stock Index Value,0.0
Country_UK,0.0
Country_USA,0.0
Country_Japan,0.0
Country_India,0.0
Country_Germany,0.0
Country_China,0.0
Country_Canada,0.0
Country_Brazil,0.0
Country_Australia,0.0
Unemployment Rate (%)_diff_Stock Index Value,0.0
