feature,mean_importance
Country_USA,-0.011222696377346342
Country_Brazil,-0.001961672085309951
Country_India,-0.001857740117749973
Country_UK,-0.0002747586611893116
Country_China,-7.040187167808298e-05
Country_France,0.0
Country_Canada,1.704955073829062e-05
Country_Japan,5.9123883796674546e-05
Country_Germany,0.00014339118044381927
Country_Australia,0.00020257054914463168
Stock Index Value,0.00396491027255017
Interest Rate (%),0.0219321640754123
GDP Growth Rate (%),0.03840949752728422
Unemployment Rate (%),0.04242148542584294
