feature,mean_importance
GDP Growth Rate (%),-0.017373572297478268
Country_Brazil,-0.0047102291444414135
Country_India,-0.0001287583699866257
Country_China,0.0
Country_France,0.00034014066104335325
Country_UK,0.0010124569111703784
Country_USA,0.0016557258571243238
Country_Australia,0.0022635989443951397
Country_Japan,0.0026484478776425124
Country_Canada,0.0031834898024386106
Country_Germany,0.0055129462723077175
Stock Index Value,0.02066407001368864
Unemployment Rate (%),0.021863319353690302
Interest Rate (%),0.04430642993562679
