feature,mean_importance
Country_USA,-0.009495763237359834
Country_India,-0.004013853978119553
Country_Brazil,-0.0024352945538575364
Country_Australia,-0.00029480853556629327
Country_France,0.0
Country_China,1.5135162634027922e-05
Country_UK,0.0004811917913962294
Country_Japan,0.0007017625985641374
Country_Canada,0.0009006003475774182
Country_Germany,0.0015850373794038751
Stock Index Value,0.008243077687910282
Interest Rate (%),0.03910327861994216
Unemployment Rate (%),0.04505395457153587
GDP Growth Rate (%),0.04579901143852605
