feature,shap_importance
Unemployment Rate (%),0.097645315605687
Interest Rate (%),0.05959118820093195
Stock Index Value,0.05333533417502317
GDP Growth Rate (%),0.03165977006688179
Country_USA,0.008746877214194804
Country_China,0.007141233426002683
Country_Canada,0.0050406210797369145
Country_Japan,0.004353094322200497
Country_Brazil,0.004218674995094468
Country_UK,0.0030238138238561072
Country_Australia,0.002754766800166682
Country_France,0.0025278392512236942
Country_India,0.0020955316617283413
Country_Germany,0.001986723735771552
