feature,mean_importance
Stock Index Value,-0.023815029090083862
Interest Rate (%),-0.017336798118886776
Country_Brazil,-0.013080442586699137
Country_India,-0.008751846560501342
GDP Growth Rate (%),-0.007350927802639395
Country_USA,-0.006681251989336845
Country_Germany,-0.00543551623659626
Country_Canada,-0.004380709395698412
Unemployment Rate (%),-0.0008749986421222377
Country_Australia,0.005748557011356769
Country_China,0.0060974139831633245
Country_France,0.009728297598858626
Country_UK,0.01236832778626371
Country_Japan,0.02427315694016734
