feature,shap_importance
Stock Index Value,0.10669066708358024
Unemployment Rate (%),0.08933188797348784
Stock Index Value_ratio_Interest Rate (%),0.08243248765006518
Unemployment Rate (%)_sum_GDP Growth Rate (%),0.08059341186786552
Interest Rate (%)_sum_Unemployment Rate (%),0.06025684535783171
GDP Growth Rate (%)_ratio_Unemployment Rate (%),0.05847233729515775
Stock Index Value_multiply_GDP Growth Rate (%),0.027963944918622242
Unemployment Rate (%)_multiply_GDP Growth Rate (%),0.007812061505665822
Country_USA,0.0
GDP Growth Rate (%)_ratio_Stock Index Value,0.0
Interest Rate (%)_ratio_Stock Index Value,0.0
Interest Rate (%)_multiply_GDP Growth Rate (%),0.0
Stock Index Value_ratio_GDP Growth Rate (%),0.0
GDP Growth Rate (%),0.0
Country_Japan,0.0
Country_India,0.0
Country_Germany,0.0
Country_France,0.0
Country_China,0.0
Country_Canada,0.0
Country_Brazil,0.0
Country_Australia,0.0
Interest Rate (%),0.0
Country_UK,0.0
