feature,mean_importance
Country_Australia,-0.015871014811043204
GDP Growth Rate (%),-0.0038132649277643703
Stock Index Value,-0.002719222156625012
Country_Japan,-0.0020873046412859695
Country_Brazil,-0.0009005736855709712
Country_China,-0.0005994387086409647
Interest Rate (%),-0.0003482693718625862
Country_France,0.0010060420191676522
Country_USA,0.0015287619349797943
Country_Canada,0.002516174956660122
Country_India,0.004375210817437325
Unemployment Rate (%),0.005889393634005713
Country_Germany,0.013742545007647378
Country_UK,0.014942192820730305
