feature,shap_importance
Unemployment Rate (%),0.06796905092646445
Interest Rate (%),0.03065917766892297
GDP Growth Rate (%),0.022913569597704277
Stock Index Value,0.020039846543710074
Country_USA,0.013785007581113153
Country_Canada,0.006572819824827048
Country_Germany,0.003586658529400495
Country_Brazil,0.0023229353882265927
Country_India,0.0013564356620029265
Country_China,0.000891522351768585
Country_Australia,0.0007307314913074253
Country_France,0.0005570059444909764
Country_UK,0.0004187359684112863
Country_Japan,0.00027161545557551677
