Date,Country,Inflation Rate (%),GDP Growth Rate (%),Unemployment Rate (%),Interest Rate (%),Stock Index Value
2010-01-31,Brazil,1.23,0.69,10.48,7.71,21748.85
2010-01-31,France,6.76,2.59,4.27,7.39,10039.56
2010-01-31,USA,7.46,4.84,2.64,6.39,13129.1
2010-02-28,Brazil,5.43,0.31,8.26,6.09,23304.58
2010-02-28,Canada,0.69,-0.52,11.92,-0.51,16413.03
2010-02-28,Canada,6.1,9.9,11.8,8.38,17977.64
2010-02-28,Japan,8.61,4.43,11.28,6.11,25259.54
2010-02-28,USA,3.13,4.82,9.32,-0.66,10638.13
2010-03-31,Germany,0.05,-4.78,3.31,3.85,38146.22
2010-03-31,USA,7.2,-1.48,4.1,8.22,6067.71
2010-04-30,China,8.68,5.86,10.77,9.89,10505.45
2010-04-30,Germany,8.84,-2.87,4.82,3.99,25382.99
2010-04-30,UK,3.1,3.15,11.92,4.52,17208.55
2010-05-31,France,5.69,-4.86,3.61,8.79,12514.43
2010-05-31,India,8.76,4.08,10.4,5.56,24026.81
2010-05-31,Japan,9.09,3.62,10.06,7.29,16897.68
2010-06-30,France,8.38,-4.76,6.41,2.34,37646.41
2010-06-30,USA,5.56,0.87,4.54,3.34,2104.14
2010-07-31,France,6.7,2.82,7.62,-0.66,8465.68
2010-08-31,Australia,4.65,7.97,11.48,3.57,34435.05
2010-08-31,Canada,2.78,1.28,7.99,5.56,19780.42
2010-08-31,China,0.62,9.61,5.79,2.06,10880.93
2010-08-31,India,2.77,8.04,3.26,5.42,21504.49
2010-08-31,India,8.79,9.14,8.14,8.57,31618.81
2010-09-30,Australia,9.13,4.8,6.86,-0.55,1017.27
2010-09-30,Canada,5.27,-3.96,3.51,8.37,16636.73
2010-09-30,France,7.95,4.26,9.88,2.67,9010.65
2010-10-31,Brazil,8.57,5.37,7.67,0.68,29564.14
2010-11-30,Brazil,9.81,2.15,4.68,6.04,10652.89
2010-12-31,Canada,9.89,-1.48,4.78,4.78,2858.01
2010-12-31,China,9.59,9.11,6.96,1.28,2203.46
2010-12-31,China,1.61,0.57,2.82,-0.33,5457.15
2010-12-31,UK,9.68,5.21,6.88,4.8,23440.97
2011-01-31,India,6.96,7.33,8.56,9.23,35513.61
2011-01-31,UK,5.66,-3.45,3.78,3.35,32903.04
2011-01-31,USA,0.09,-1.82,11.92,-0.06,31674.37
2011-02-28,Canada,0.33,-4.69,3.14,8.13,35891.07
2011-02-28,UK,4.68,4.09,7.44,6.02,2073.25
2011-03-31,Australia,8.82,2.65,11.05,3.57,31575.51
2011-03-31,Brazil,3.34,4.03,3.08,1.38,33746.73
2011-03-31,France,2.88,7.37,6.51,5.85,20431.2
2011-03-31,France,2.27,-4.39,10.99,9.22,34353.07
2011-03-31,India,8.37,4.83,11.78,8.12,9919.08
2011-03-31,UK,3.36,1.7,8.78,5.38,8939.56
2011-04-30,Brazil,2.53,7.77,11.66,3.05,14446.48
2011-04-30,Germany,7.15,6.88,5.3,1.63,11436.43
2011-05-31,Japan,9.89,5.14,5.72,6.01,25471.98
2011-05-31,UK,2.73,9.93,10.57,8.53,14882.87
2011-06-30,France,4.66,8.08,10.96,6.94,32522.74
2011-06-30,Japan,5.25,1.64,3.66,1.08,32872.84
2011-07-31,Brazil,7.54,3.63,6.08,9.02,18288.95
2011-08-31,China,8.94,0.74,10.23,8.63,16500.48
2011-09-30,Australia,4.15,-0.06,2.69,2.26,32515.09
2011-09-30,Australia,0.89,-2.38,10.62,8.56,24219.03
2011-09-30,Brazil,1.09,-2.32,4.55,1.41,7789.19
